0,59,34
1,91,66
2,90,66
3,89,65
4,89,65
5,89,65
6,88,66
7,87,66
8,86,66
9,87,65
10,86,65
11,86,66
12,87,66
13,88,65
14,87,62
15,85,62
16,88,62
17,87,61
18,87,62
19,88,66
20,87,64
21,85,62
22,89,63
23,91,64
24,89,64
25,91,64
26,91,63
27,91,60
28,93,61
29,93,60
30,94,60
31,93,60
32,93,60
33,94,61
34,94,59
35,94,61
36,96,60
37,96,64
38,96,60
39,93,60
40,94,62
41,92,63
42,92,61
43,89,62
44,88,63
45,88,65
46,83,65
47,80,65
48,78,66
49,77,65
50,75,69
51,73,68
52,73,70
53,70,72
54,69,72
55,68,72
56,69,72
57,66,69
58,66,70
59,64,72
60,64,71
61,62,72
62,64,73
63,64,75
64,65,75
65,64,73
66,63,73
67,63,74
68,62,74
69,65,73
70,68,72
71,66,73
72,66,70
73,67,70
74,68,69
75,67,68
76,68,67
77,67,61
78,69,63
79,68,61
80,69,62
81,71,63
82,74,58
83,74,58
84,77,60
85,83,61
86,83,60
87,89,60
88,91,59
89,93,59
90,98,59
91,103,62
92,102,62
93,108,63
94,109,62
95,110,63
96,109,62
97,111,58
98,111,58
99,111,59
100,110,59
101,107,61
102,105,61
103,102,59
104,99,61
105,95,61
106,93,65
107,92,63
108,89,62
109,87,62
110,87,60
111,85,62
112,83,61
113,82,60
114,80,60
115,80,59
116,80,61
117,78,61
118,77,59
119,77,60
120,77,59
121,77,58
122,76,59
123,77,60
124,77,60
125,76,59
126,76,58
127,75,56
128,74,56
129,74,56
130,75,57
131,75,55
132,73,56
133,71,56
134,72,55
135,72,55
136,73,55
137,72,56
138,73,55
139,76,55
140,77,57
141,77,57
142,79,56
143,79,57
144,79,56
145,79,57
146,79,57
147,79,57
148,81,57
149,81,57
150,82,56
151,83,55
152,83,54
153,83,53
154,83,53
155,81,54
156,80,54
157,82,54
158,82,57
159,83,57
160,82,56
161,81,57
162,83,57
163,82,59
164,82,59
165,83,58
166,84,59
167,84,61
168,84,61
169,84,59
170,84,61
171,85,62
172,83,64
173,84,61
174,85,64
175,85,65
176,87,64
177,86,64
178,88,64
179,86,65
180,87,64
181,85,63
182,87,65
183,88,63
184,88,65
185,88,67
186,91,68
187,90,67
188,90,70
189,91,72
190,92,72
191,94,75
192,95,75
193,94,72
194,93,72
195,98,78
196,97,76
197,101,82
198,103,83
199,102,80
200,106,83
201,107,85
202,110,86
203,111,88
204,111,87
205,112,84
206,113,82
207,115,85
208,115,80
209,114,80
210,113,77
211,111,71
212,110,71
213,104,68
214,101,69
215,96,68
216,94,64
217,88,63
218,85,61
219,82,60
220,79,62
221,74,62
222,72,63
223,69,64
224,68,66
225,66,64
226,66,64
227,64,64
228,63,67
229,63,65
230,64,65
231,63,67
232,66,66
233,71,64
234,70,66
235,72,66
236,75,67
237,76,65
238,78,67
239,81,68
240,83,68
241,86,72
242,87,71
243,87,68
244,87,69
245,87,68
246,89,69
247,89,68
248,90,68
249,89,69
250,87,68
251,89,67
252,87,65
253,86,66
254,86,66
255,82,63
256,84,65
